row_id,canonical_amine_object,chemistry_object,Amine_1,Solvent,abs_residual__DS-unknown,abs_residual__strict_amine_object_holdout,error_type__DS-unknown,error_type__strict_amine_object_holdout,oof_proba__DS-unknown,oof_proba__strict_amine_object_holdout,signed_residual__DS-unknown,signed_residual__strict_amine_object_holdout,y__DS-unknown,y__strict_amine_object_holdout,bias_alignment
92,MEA,MEA__isopropanol,MEA,isopropanol,0.2848829689875332,0.2100834499433837,TN,TN,0.2848829689875332,0.2100834499433837,-0.2848829689875332,-0.2100834499433837,0.0,0.0,consistent_overprediction
93,MEA,MEA__isopropanol,MEA,isopropanol,0.4935082241318508,0.591023849778133,TP,FN,0.5064917758681492,0.408976150221867,0.4935082241318508,0.591023849778133,1.0,1.0,consistent_strong_underprediction
94,MEA,MEA__isopropanol,MEA,isopropanol,0.2987809185975665,0.359387845061112,TP,TP,0.7012190814024335,0.640612154938888,0.2987809185975665,0.359387845061112,1.0,1.0,consistent_strong_underprediction
95,MEA,MEA__isopropanol,MEA,isopropanol,0.18506919101406782,0.1994832517407371,TP,TP,0.8149308089859322,0.8005167482592629,0.18506919101406782,0.1994832517407371,1.0,1.0,consistent_underprediction
96,MEA,MEA__isopropanol,MEA,isopropanol,0.13867457646115644,0.12056089319964203,TP,TP,0.8613254235388436,0.879439106800358,0.13867457646115644,0.12056089319964203,1.0,1.0,consistent_underprediction
97,MEA,MEA__isopropanol,MEA,isopropanol,0.14432040595334505,0.1022271404723093,TP,TP,0.855679594046655,0.8977728595276907,0.14432040595334505,0.1022271404723093,1.0,1.0,consistent_underprediction
98,MEA,MEA__isopropanol,MEA,isopropanol,0.24708660515534953,0.17875888575272803,TP,TP,0.7529133948446505,0.821241114247272,0.24708660515534953,0.17875888575272803,1.0,1.0,consistent_underprediction
99,MEA,MEA__sulfolane,MEA,sulfolane,0.0317555243148477,0.030555401264945,TN,TN,0.0317555243148477,0.030555401264945,-0.0317555243148477,-0.030555401264945,0.0,0.0,consistent_overprediction
100,MEA,MEA__sulfolane,MEA,sulfolane,0.0489560289630351,0.0405923520020256,TN,TN,0.0489560289630351,0.0405923520020256,-0.0489560289630351,-0.0405923520020256,0.0,0.0,consistent_overprediction
101,MEA,MEA__sulfolane,MEA,sulfolane,0.9251159106861109,0.9419919460001672,FN,FN,0.0748840893138891,0.0580080539998328,0.9251159106861109,0.9419919460001672,1.0,1.0,consistent_strong_underprediction
102,MEA,MEA__sulfolane,MEA,sulfolane,0.8784767835359021,0.9156202224002218,FN,FN,0.1215232164640979,0.0843797775997782,0.8784767835359021,0.9156202224002218,1.0,1.0,consistent_strong_underprediction
103,MEA,MEA__sulfolane,MEA,sulfolane,0.8051498318350658,0.8641976078277365,FN,FN,0.1948501681649341,0.1358023921722636,0.8051498318350658,0.8641976078277365,1.0,1.0,consistent_strong_underprediction
104,MEA,MEA__sulfolane,MEA,sulfolane,0.7061440249295166,0.7755574240550653,FN,FN,0.2938559750704835,0.2244425759449347,0.7061440249295166,0.7755574240550653,1.0,1.0,consistent_strong_underprediction
