protocol,group_family,group_name,n,pos_n,neg_n,pos_rate,pred_pos_rate,proba_mean,signed_residual_mean,abs_residual_mean,brier_mean,error_rate,fn_rate_all,fp_rate_all,fn_given_pos,fp_given_neg,auc
DS-known,chemistry_object,AEP__isopropanol,6,6,0,1.0,0.5,0.4564085243088208,0.5435914756911792,0.5435914756911792,0.32768522272462575,0.5,0.5,0.0,0.5,,
DS-known,chemistry_object,MAE__isopropanol,6,0,6,0.0,0.5,0.5210666794436054,-0.5210666794436054,0.5210666794436054,0.30608118873226026,0.5,0.0,0.5,,0.5,
DS-known,chemistry_object,MAE__n-butanol,11,8,3,0.7272727272727273,0.6363636363636364,0.6235328129134383,0.10373991435928888,0.5061349704134476,0.3394722100949854,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.375,0.6666666666666666,0.25000000000000006
DS-known,chemistry_object,2MPRZ__TGBE,6,6,0,1.0,0.16666666666666666,0.498129141607582,0.501870858392418,0.501870858392418,0.26578527781907285,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,,
DS-known,chemistry_object,MEA__TEG,12,6,6,0.5,0.5,0.6090226873951902,-0.10902268739519012,0.49334932051612745,0.3216566067047082,0.5,0.25,0.25,0.5,0.5,0.6388888888888888
DS-known,chemistry_object,DETA__NO_SOLVENT,8,0,8,0.0,0.5,0.4799846110719843,-0.4799846110719843,0.4799846110719843,0.30905560939717674,0.5,0.0,0.5,,0.5,
DS-known,chemistry_object,DETA|PMDETA__NO_SOLVENT,12,12,0,1.0,0.75,0.5652897693230385,0.43471023067696146,0.43471023067696146,0.1964067199681164,0.25,0.25,0.0,0.25,,
DS-known,chemistry_object,MAE__ethanol,6,0,6,0.0,0.5,0.41788526463494186,-0.41788526463494186,0.41788526463494186,0.21326792214279078,0.5,0.0,0.5,,0.5,
DS-known,chemistry_object,AEP__n-propanol,15,13,2,0.8666666666666667,0.7333333333333333,0.6121736968237317,0.25449296984293496,0.3869881609921373,0.18586103207188093,0.26666666666666666,0.2,0.06666666666666667,0.23076923076923078,0.5,0.7692307692307693
DS-known,chemistry_object,MEA__sulfolane,18,16,2,0.8888888888888888,0.5555555555555556,0.573134450024591,0.3157544388642979,0.351602429895921,0.18542140037031818,0.3333333333333333,0.3333333333333333,0.0,0.375,0.0,1.0
DS-known,chemistry_object,MAE__DGM,15,13,2,0.8666666666666667,0.9333333333333333,0.7850039936855062,0.08166267298116046,0.3343666949761814,0.18874949425408102,0.2,0.06666666666666667,0.13333333333333333,0.07692307692307693,1.0,0.0
DS-known,chemistry_object,MEA__Methanol,6,0,6,0.0,0.0,0.30655540000488835,-0.30655540000488835,0.30655540000488835,0.10393428245776641,0.0,0.0,0.0,,0.0,
DS-known,chemistry_object,DEEA|MAPA__NO_SOLVENT,14,11,3,0.7857142857142857,0.9285714285714286,0.9304604848338976,-0.14474619911961187,0.28323542526452017,0.2504178475791893,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.09090909090909091,1.0,0.7272727272727273
DS-known,chemistry_object,DETA__sulfolane,11,11,0,1.0,0.9090909090909091,0.7167912314816258,0.28320876851837423,0.28320876851837423,0.10442794868867873,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,,
DS-known,chemistry_object,DMAE|TETA__NO_SOLVENT,27,0,27,0.0,0.0,0.2612575445954312,-0.2612575445954312,0.2612575445954312,0.068363596483317,0.0,0.0,0.0,,0.0,
