protocol,row_id,canonical_amine_object,chemistry_object,Amine_1,Amine_2,Solvent,system_type,Temperature(K),H2O wt%,Amine 1 wt%,Amine 2 wt%,Solvent wt%,Phase Type,y,oof_proba,oof_pred,error_type,signed_residual,abs_residual,x_H2O,Am_Med_ratio,Delta_S_np,Delta_S_acc,Sal_Out
LOCO,327,DEEA|PtA,DEEA|PtA__NO_SOLVENT,PtA,DEEA,(none),dual_amine_aqueous,303,45.91,13.07,41.02,0.0,M,0,0.8347892168382252,1,FP,-0.8347892168382252,0.8347892168382252,0.8359879774476343,0.1961894512561253,0.634793903740484,0.2929122567849688,0.240159556809676
LOCO,484,DEEA|HMDA,DEEA|HMDA__NO_SOLVENT,DEEA,HMDA,(none),dual_amine_aqueous,313,89.51,9.97,0.52,0.0,M,0,0.8339493237599356,1,FP,-0.8339493237599356,0.8339493237599356,0.9822959915323822,0.0180230893948589,0.6340514437429714,0.2870889961895493,0.2821903859222848
LOCO,243,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,303,0.0,30.0,0.0,70.0,B,1,0.1699132949614736,0,FN,0.8300867050385264,0.8300867050385264,0.0,0.8431457384195429,0.0486378273064697,0.0590231915782442,0.0
LOCO,242,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,303,0.0,20.0,0.0,80.0,B,1,0.1788257963692609,0,FN,0.8211742036307391,0.8211742036307391,0.0,0.4918350140782395,0.0486378273064698,0.0590231915782442,0.0
LOCO,487,DEEA|HMDA,DEEA|HMDA__NO_SOLVENT,DEEA,HMDA,(none),dual_amine_aqueous,313,89.52,9.44,1.04,0.0,M,0,0.8204301904147251,1,FP,-0.8204301904147251,0.8204301904147251,0.9823072079900964,0.018011465115976,0.6299017130270648,0.2858123845349424,0.2821936081450754
LOCO,281,MEA,MEA__TEG,MEA,(none),TEG,single_amine_solvent,303,0.0,28.0,0.0,72.0,B,1,0.1852396148723767,0,FN,0.8147603851276233,0.8147603851276233,0.0,0.9560768777402556,0.0647129034103914,0.0029521164101237,0.0
LOCO,255,AEP,AEP__isopropanol,AEP,(none),isopropanol,single_amine_solvent,303,0.0,70.0,0.0,30.0,B,1,0.191784214373821,0,FN,0.808215785626179,0.808215785626179,0.0,1.085266278140562,0.0195041711327705,0.0075156065937552,0.0
LOCO,490,DEEA|HMDA,DEEA|HMDA__NO_SOLVENT,DEEA,HMDA,(none),dual_amine_aqueous,313,89.52,8.92,1.56,0.0,M,0,0.8062893529927043,1,FP,-0.8062893529927043,0.8062893529927043,0.9822999121244436,0.0180190262231195,0.6257916527059024,0.2845479769706105,0.2821915122155776
LOCO,103,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,313,35.0,30.0,0.0,35.0,B,1,0.1971065745872369,0,FN,0.8028934254127631,0.8028934254127631,0.7129081672839271,0.2198378409289744,0.2662766557588952,0.1417628414986613,0.3158505191574087
LOCO,283,MEA,MEA__TEG,MEA,(none),TEG,single_amine_solvent,303,0.0,17.0,0.0,83.0,B,1,0.1972013494672953,0,FN,0.8027986505327047,0.8027986505327047,0.0,0.5035447927515501,0.0647129034103916,0.0029521164101237,0.0
LOCO,485,DEEA|HMDA,DEEA|HMDA__NO_SOLVENT,DEEA,HMDA,(none),dual_amine_aqueous,313,81.02,18.04,0.94,0.0,M,0,0.8006660868286424,1,FP,-0.8006660868286424,0.8006660868286424,0.9652257317478692,0.036027083725922,0.6340552370717789,0.2870901631587088,0.2772865043652901
LOCO,472,DETA|PMDETA,DETA|PMDETA__NO_SOLVENT,DETA,PMDETA,(none),dual_amine_aqueous,298,68.88,11.98,19.14,0.0,B,1,0.2028937331667011,0,FN,0.7971062668332989,0.7971062668332989,0.9440585494922932,0.0592563358890529,0.5829469098122089,0.2683495353977938,0.2712056739627654
LOCO,132,MAE,MAE__n-propanol,MAE,(none),n-propanol,single_amine_solvent,313,50.0,30.0,0.0,20.0,M,0,0.7964988747529288,1,FP,-0.7964988747529288,0.7964988747529288,0.7912523789839403,0.1285007303577817,0.3504218063710781,0.1543284953022249,0.3283726904569403
LOCO,493,DEEA|HMDA,DEEA|HMDA__NO_SOLVENT,DEEA,HMDA,(none),dual_amine_aqueous,313,89.52,8.4,2.08,0.0,M,0,0.7915421329718061,1,FP,-0.7915421329718061,0.7915421329718061,0.9822926163671668,0.0180265873302629,0.6217168343089197,0.2832944111341444,0.2821894163172136
LOCO,138,MAE,MAE__isopropanol,MAE,(none),isopropanol,single_amine_solvent,313,50.0,30.0,0.0,20.0,M,0,0.7866510273399724,1,FP,-0.7866510273399724,0.7866510273399724,0.7912523789839403,0.1285007303577817,0.3533231744886381,0.156698302436961,0.3260769760316128
LOCO,488,DEEA|HMDA,DEEA|HMDA__NO_SOLVENT,DEEA,HMDA,(none),dual_amine_aqueous,313,81.04,17.08,1.88,0.0,M,0,0.7861225035017435,1,FP,-0.7861225035017435,0.7861225035017435,0.9652552949253952,0.0359953529985601,0.629908411927828,0.2858144453662043,0.2772949971663878
LOCO,252,AEP,AEP__n-propanol,AEP,(none),n-propanol,single_amine_solvent,303,0.0,70.0,0.0,30.0,B,1,0.2181712405495785,0,FN,0.7818287594504215,0.7818287594504215,0.0,1.085266278140562,0.0066306050725346,0.0028385822834337,0.0
