row_id,Amine_1,Amine_2,Solvent,canonical_amine_object,chemistry_object,amine_count,y,x_Am1,x_Am2,x_Sol,x_H2O,S_ideal,minus_T_Smix,inv_T,xa_invT,ln_MW_ratio,Am_Med_ratio,Water_ent,Am_acc,Am_don,Am_np,Am_wid,Sv_acc,Sv_don,Sv_np,Sv_wid,Delta_S_np,Delta_S_acc,Sal_Out
41,MEA,,ethanol,MEA,MEA__ethanol,1,0,0.1216052494083316,0.0,0.053746445945997874,0.8246483046456705,0.5723365511378129,-173.41797499475732,3.3003300330033003,0.4013374567931736,1.1300180961710875,0.1384403189184389,0.15899077551247115,0.1735872897491033,0.1170908859105395,0.7093218243403573,6.759658646337234e-05,0.32996741938220564,0.32391470787690324,0.34611787274089123,0.00013034691938654396,0.36320395159946606,0.15638012963310233,0.2854255169633419
42,MEA,,n-propanol,MEA,MEA__n-propanol,1,0,0.12315016220388073,0.0,0.04172493182054186,0.8351249059755774,0.5409331947165216,-163.90275799910603,3.3003300330033003,0.40643617889069544,1.1156334530531267,0.14044612531749653,0.15046777587073965,0.1735872897491033,0.1170908859105395,0.7093218243403573,6.759658646337234e-05,0.3275982254405707,0.32351419250341346,0.348887582056016,0.00012968051391704067,0.3604342422843413,0.1540109356914674,0.29136470916057694
43,MEA,,isopropanol,MEA,MEA__isopropanol,1,0,0.12315016220388073,0.0,0.04172493182054186,0.8351249059755774,0.5409331947165216,-163.90275799910603,3.3003300330033003,0.40643617889069544,1.1156334530531267,0.14044612531749653,0.15046777587073965,0.1735872897491033,0.1170908859105395,0.7093218243403573,6.759658646337234e-05,0.32873770170727595,0.3237662838120058,0.3474960144807183,0.00012991066019631754,0.36182580985963897,0.15515041195817264,0.2902025764200978
44,MEA,,Tertiarybutanol,MEA,MEA__Tertiarybutanol,1,0,0.12413029570646975,0.0,0.034098165584834216,0.841771538708696,0.5191817297773629,-157.31206412254096,3.3003300330033003,0.4096709429256427,1.106587694338295,0.14172233049943264,0.1449923135129706,0.1735872897491033,0.1170908859105395,0.7093218243403573,6.759658646337234e-05,0.3272254637590536,0.3243323837081819,0.3484421525327645,0.00012978577537907368,0.3608796718075928,0.15363817400995028,0.29330868688847533
45,MEA,,Methanol,MEA,MEA__Methanol,1,0,0.12623004866849977,0.0,0.16042769475202628,0.713342256579474,0.7957831787147001,-241.1223031505541,3.3003300330033003,0.41660082068811805,1.0874132417231652,0.14446599871739557,0.24096269889973806,0.1735872897491033,0.1170908859105395,0.7093218243403573,6.759658646337234e-05,0.3107737724222677,0.2921197990512012,0.3971064285265311,0.0001209253671791903,0.3122153958138262,0.1371864826731644,0.28327279582733134
46,MEA,,ethanol,MEA,MEA__ethanol,1,0,0.1327126242916901,0.0,0.11731124967959074,0.7499761260287191,0.7351900548224704,-222.76258661120852,3.3003300330033003,0.43799545970854814,1.0298864504560652,0.15302035750624324,0.21577855981559918,0.1735872897491033,0.1170908859105395,0.7093218243403573,6.759658646337234e-05,0.3021296429630569,0.28949158427983307,0.40837877275711004,0.00011879717294131643,0.30094305158324725,0.12854235321395358,0.30627432994474
47,MEA,,n-propanol,MEA,MEA__n-propanol,1,1,0.13644881167667083,0.0,0.09246138636468054,0.7710898019586486,0.6923719055222544,-209.78868737324308,3.3003300330033003,0.4503261111441282,0.9978057772317344,0.15800894437009788,0.2004451314061153,0.1735872897491033,0.1170908859105395,0.7093218243403573,6.759658646337234e-05,0.2968232104958638,0.28817305722012215,0.41500373228401394,0.00011725183180109429,0.29431809205634335,0.12323592074676049,0.3200051457389803
48,MEA,,isopropanol,MEA,MEA__isopropanol,1,0,0.13644881167667083,0.0,0.09246138636468054,0.7710898019586486,0.6923719055222544,-209.78868737324308,3.3003300330033003,0.4503261111441282,0.9978057772317344,0.15800894437009788,0.2004451314061153,0.1735872897491033,0.1170908859105395,0.7093218243403573,6.759658646337234e-05,0.29919301763059986,0.28870461820294613,0.41210236416645396,0.00011773205928640626,0.2972194601739033,0.12560572788149654,0.3177679303718019
49,MEA,,Tertiarybutanol,MEA,MEA__Tertiarybutanol,1,1,0.1388788226554602,0.0,0.0762990704917154,0.7848221068528244,0.66065382064401,-200.17810765513502,3.3003300330033003,0.4583459493579545,0.977335600922218,0.16127674746493045,0.19016098565790635,0.1735872897491033,0.1170908859105395,0.7093218243403573,6.759658646337234e-05,0.2957093674248244,0.2894922274627516,0.4147984051124241,0.0001173353134878457,0.2945234192279332,0.12212207767572109,0.32554295821952406
50,MEA,,Methanol,MEA,MEA__Methanol,1,0,0.13463886570075537,0.0,0.25667188291819926,0.6086892513810455,0.9212172060308585,-279.12881342735017,3.3003300330033003,0.44435269208170086,1.0132529305524054,0.15558691090238083,0.30218219744655295,0.1735872897491033,0.1170908859105395,0.7093218243403573,6.759658646337234e-05,0.2868428178096361,0.2582883316517706,0.4548688505385934,0.00011022963207741363,0.2544529738017639,0.1132555280605328,0.2768737801108931
